name,link_website,city,region,founded_year,category,top_3_keywords,business_model,linkedin_handle,status
DAIKI,dai.ki,Vienna,Vienna,2023,Software & Analytics,"['AI', 'compliance', 'governance']",B2B,daiki-ai,funding
infrared.city,infrared.city,Vienna,Vienna,2023,Software & Analytics,"['intelligent', 'resilient', 'design']",platform,infrared-city,funding
refinq,refinq.com,Vienna,Vienna,2023,Software & Analytics,"['Biodiversity', 'Ecosystems', 'Climate Risk']",B2B,refinq,funding
blue auditor,blueauditor.com,Vienna,Vienna,2017,Software & Analytics,"['sustainability', 'real estate', 'management tool']",B2B,blue-auditor,funding
Necture,necture.com,Vienna,Vienna,2015,Professional Services,"['fleets', 'sustainability', 'solutions']",B2B,necture,funding
SchuBu Systems,schubu.systems,Vienna,Vienna,2020,e-commerce,"['interactive textbook', 'digital lessons', 'teaching material']",B2B,schubuwien,funding
Boolee,boolee.io,Vienna,Vienna,2023,Software & Analytics,"['data analysis', 'SaaS', 'business analysts']",B2B,boolee,funding
Glasskube,glasskube.eu,Vienna,Vienna,2023,Software & Analytics,"['infrastructure', 'automation', 'open source']",B2B,glasskube,funding
silana,wearesilana.com,Vienna,Vienna,2022,Hardware,"['automated', 'fashion', 'production']",B2B,silana,funding
HeldYn,heldyn.com,Vienna,Vienna,2022,Health,"['care', 'therapy', 'healthcare']",B2C,heldyn,funding
Flinn Comply,flinncomply.com,Vienna,Vienna,2022,Health,"['medical device', 'compliance', 'efficiency']",B2B,,funding
NXRT,nxrt.io,Wien,Vienna,2022,Software & Analytics,"['virtual reality', 'mixed reality', 'simulation']",B2B,nxrt,funding
fynk,fynk.com,Vienna,Vienna,2022,Software & Analytics,"['contract', 'management', 'automate']",B2B,fynkcom,funding
Proofcheck,proofcheck.io,Vienna,Vienna,2022,Software & Analytics,"['AI proofreading', 'collaborative workspace', 'content creators']",B2B,proofcheck,funding
Heylog,heylog.com,Vienna,Vienna,2022,Mobility,"['logistics', 'dispatchers', 'communication']",B2B,heylog,funding
HELLO INSIDE,helloinside.com,Vienna,Vienna,2021,Software & Analytics,"['self care', 'data-driven', 'personalized']",B2C,helloinside,funding
Xperience,xperience.social,Vienna,Vienna,2021,Media & Entertainment,"['friends', 'activities', 'platform']",B2C,xperience-app,funding
VIRIDAD,viridad.eu,Vienna,Vienna,2021,Software & Analytics,"['transparency', 'sustainable', 'assessment']",platform,viridad,funding
trive studio,trive.studio,Vienna,Vienna,2021,Software & Analytics,"['startup', 'studio', 'solutions']",B2B,trive-studio,funding
